INDX,IDATE,IPRICE,IINC,IRET
ACWI,2024/10,,979,100
ACWI,2024/11,1.0403,0,0
ACWI,2024/12,,964,900
BNDW,2024/10,,980,600
BNDW,2024/11,1.0110,0,0
BNDW,2024/12,,974,100
